,ID,URL
0,1,https://www.35mmc.com/26/02/2021/panorama-wide-pic-review/
0,2,https://www.35mmc.com/20/05/2016/halina-af700-review/
0,3,https://www.35mmc.com/15/08/2022/ricoh-mirai-olympus-az-4-zoom-review-fraternal-twins-by-david-tellet/
0,4,https://www.35mmc.com/28/10/2020/pf-micro-110-high-tech-110-camera-and-some-fresh-film-by-jordi-fradera/
0,5,https://www.35mmc.com/05/06/2020/fujifilm-zoom-date-1000-1300-and-160s-review/
0,6,https://www.35mmc.com/28/01/2019/cosina-cx-2-review/
0,7,https://www.35mmc.com/11/03/2021/minox-110s-a-mini-review/
0,8,https://www.35mmc.com/22/12/2020/panasonic-c-3000zm-review/
0,9,https://www.35mmc.com/27/03/2016/olympus-xa2-review-love-camera/
0,10,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,11,https://www.35mmc.com/14/01/2014/fuji-zoom-date-2-8-silvi-review/
0,12,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,13,https://www.35mmc.com/02/05/2019/yashica-auto-focus-moto-review/
0,14,https://www.35mmc.com/27/11/2020/agfa-optima-sensor-flash-review/
0,15,https://www.35mmc.com/12/11/2021/lensfayre-snap-lf35-m-a-sustainable-customisable-reusable-camera/
0,16,https://www.35mmc.com/28/10/2022/olympus-trip-35-on-holiday-part-1-keeping-it-simple-in-new-zealand-by-david-hume/
0,17,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,18,https://www.35mmc.com/28/10/2022/olympus-trip-35-on-holiday-part-1-keeping-it-simple-in-new-zealand-by-david-hume/
0,19,https://www.35mmc.com/20/11/2016/minox-35gt-ilford-hp5-streets-berlin/
0,20,https://www.35mmc.com/23/11/2018/voigtlander-vito-ii-review/
0,21,https://www.35mmc.com/26/07/2022/konica-ee-matic-260-ilford-sportsman-c-reviving-two-instamatic-cameras-by-tobias-eriksson/
0,22,https://www.35mmc.com/14/04/2018/konica-aa-35-reporter-review/
0,23,https://www.35mmc.com/08/06/2016/samsung-vega-140s-review/
0,24,https://www.35mmc.com/23/08/2015/olympus-mju-iii-wide-100-review/
0,25,https://www.35mmc.com/17/11/2016/canon-sure-shot-sleekprima-mini-ii-review/
0,26,https://www.35mmc.com/20/11/2016/minox-35gt-ilford-hp5-streets-berlin/
0,27,https://www.35mmc.com/14/03/2015/rollei-35se-review-zone-focus-camera/
0,28,https://www.35mmc.com/25/05/2021/rollei-a110-the-110-a-review-by-bob-janes/
0,29,https://www.35mmc.com/01/07/2019/lomo-lc-a-a-one-roll-15-year-review/
0,30,https://www.35mmc.com/12/11/2017/nikonos-iii-dry-land-review/
0,31,https://www.35mmc.com/12/11/2021/lensfayre-snap-lf35-m-a-sustainable-customisable-reusable-camera/
0,32,https://www.35mmc.com/13/10/2022/alfie-tych-preview-an-eccentric-camera-that-fits-in-the-palm-of-your-hand/
0,33,https://www.35mmc.com/21/02/2019/nikonos-v-35mm-f-2-5-fuji-superia-x-tra-400/
0,34,https://www.35mmc.com/13/08/2020/hanimex-vef-mini-camera-mini-review-by-tobias-eriksson/
0,35,https://www.35mmc.com/07/12/2018/canon-sure-shot-max-review/
0,36,https://www.35mmc.com/05/04/2019/voigtlander-vito-bl-by-andrew-morang/
0,37,https://www.35mmc.com/29/03/2019/nikon-l35af-a-mini-review-by-giacomo-zema/
0,38,https://www.35mmc.com/05/06/2020/fujifilm-zoom-date-1000-1300-and-160s-review/
0,39,https://www.35mmc.com/03/09/2021/texet-tx-500-review-fake-autoexposure-compact-by-rock/
0,40,https://www.35mmc.com/08/01/2015/olympus-af-10-super-review/
0,41,https://www.35mmc.com/03/06/2021/my-journey-shooting-85-analog-cameras-and-writing-a-book-about-it-by-christof-bircher/
0,42,https://www.35mmc.com/24/05/2015/chinon-auto-3001/
0,43,https://www.35mmc.com/13/10/2022/alfie-tych-preview-an-eccentric-camera-that-fits-in-the-palm-of-your-hand/
0,44,https://www.35mmc.com/13/07/2021/minolta-hi-matic-g-the-bare-essentials-by-cosmo-coughlin/
0,45,https://www.35mmc.com/02/02/2021/minox-35-gt-e-review-scale-focusing-a-pocket-camera-by-anton-yakovlev/
0,46,https://www.35mmc.com/22/01/2021/regula-rm-mastra-v35-review/
0,47,https://www.35mmc.com/07/08/2020/vivitar-tec-45-and-panasonic-c-600-review/
0,48,https://www.35mmc.com/29/03/2021/rollei-35-my-experiences-with-and-love-for-these-little-cameras/
0,49,https://www.35mmc.com/31/03/2016/lomo-lc-love-review/
0,50,https://www.35mmc.com/19/05/2020/panasonic-lumix-lc5-review/
0,51,https://www.35mmc.com/23/05/2019/chinon-bellami-mini-review/
